province,district,totalPop
Badakhshan,Darwaz,26100
Badakhshan,Eshkashim,13700
Badakhshan,Shiki,26000
Badakhshan,Zebak,7800
Badakhshan,KiranWaMenjan,9400
Badakhshan,Darwaz,22900
Badakhshan,Wakhan,14800
Takhar,TakharCenter,223100
Takhar,HazarSumuch,13600
Takhar,Baharak,30600
Takhar,Bangi,34700
Takhar,Chal,27900
Takhar,NamakAb,12000
Takhar,Kalafgan,34800
Takhar,Farkhar,46300
Takhar,KhwajaGhar,66200
Takhar,Rustaq,162200
Takhar,Eshkamesh,58300
Takhar,DashtiQala,31600
Takhar,Warsaj,37500
Takhar,KhwajaBahawuddin,23000
Takhar,Darqad,26600
Takhar,Chahab,77700
Takhar,YangiQala,44000
Kunduz,KunduzCenter,311600
Kunduz,ChaharDarah,72600
Kunduz,AliAbad,46600
Kunduz,KhanAbad,159100
Kunduz,HazratiImamSahib,229800
Kunduz,Dasht,83700
Kunduz,Qala,68800
Samangan,SamanganCenter,102400
Samangan,Hazrat,40800
Samangan,KhuramWaSarbagh,39400
Samangan,FerozNakhcheer,12900
Samangan,Rui,45100
Samangan,Dara,70600
Samangan,Dara,63900
Balkh,BalkhCenter,379300
Balkh,NahriShahi,44300
Balkh,Dehdadi,66600
Balkh,CharKent,43900
Balkh,Marmul,11300
Balkh,118400
Balkh,Sholgara,112600
Balkh,Chimtal,90600
Balkh,DawlatAbad,103600
Balkh,Khulm,70400
Balkh,CharBolak,80100
Balkh,Shortepa,39100
Balkh,Kaldar,19700
Balkh,Kishindeh,48100
Balkh,Zari,43300
Saripul,SaripulCenter,153400
Saripul,Sayyad,53900
Saripul,Kohistanat,79100
Saripul,SozmaQala,48900
Saripul,Sancharak,100000
Saripul,Gosfandi,55900
Saripul,Balkhab,49800
Ghor,GhorCenter,133900
Ghor,Duleena,35600
Ghor,Dawlatyar,32299
Ghor,CharSada,27100
Ghor,Pasaband,93800
Ghor,Shahrak,59100
Ghor,LalWaSarjangal,110700
Ghor,Taywara,90400
Ghor,Tulak,50800
Ghor,Saghar,34300
Daykundi,DaykundiCenter,40300
Daykundi,Shahristan,65700
Daykundi,Ishterlai,47000
Daykundi,Khedir,46100
Daykundi,Giti,33100
Daykundi,Miramor,61900
Daykundi,Sang,50100
Daykundi,Kejran,34700
Daykundi,Patoo,31900
Urozgan,UrozganCenter,101500
Urozgan,Dehraoud,60300
Urozgan,Chora,50500
Urozgan,Shahidhassas,58300
Urozgan,KhasUrozgan,55900
Urozgan,Gizab,34900
Urozgan,Chinarto,12700
Zabul,ZabulCenter,34900
Zabul,TarangWaJaldak,16900
Zabul,Shinkai,23300
Zabul,Mizan,13600
Zabul,Arghandab,32299
Zabul,ShahJoi,57700
Zabul,Daichopan,38900
Zabul,Atghar,8600
Zabul,NawBahar,18600
Zabul,ShemelZayi,25500
Zabul,Kakar,23800
Kandahar,KandaharCenter,505300
Kandahar,Arghandab,61200
Kandahar,Daman,34300
Kandahar,Panjwayee,86100
Kandahar,Zhire,84800
Kandahar,ShahWaliKot,42900
Kandahar,Khakrez,22500
Kandahar,Arghistan,34000
Kandahar,Ghorak,9600
Kandahar,Maiwand,58000
Kandahar,SpinBoldak,99400
Kandahar,Nesh,13200
Kandahar,Miyanishin,14900
Kandahar,Shorabak,11400
Kandahar,Maruf,32600
Kandahar,Reg,8800
Kandahar,Dand,44300
Kandahar,TakhtaPul,12500
Kandahar,JawzjanCenter,164900
Kandahar,KhwajaDukoh,26600
Kandahar,Khanaqa,23000
Kandahar,Mingajik,42400
Kandahar,QushTepa,23200
Kandahar,Khamyab,13800
Kandahar,Aqchah,75300
Kandahar,Faizabad,41100
Kandahar,Mardyan,38100
Kandahar,Qarqin,24400
Kandahar,Darzab,48600
Faryab,FaryabCenter,80300
Faryab,PashtunKot,186500
Faryab,KhwajaSabzPoshIWali,50200
Faryab,Almar,69500
Faryab,Bilchiragh,51600
Faryab,ShirinTagab,80500
Faryab,Qaisar,140800
Faryab,Gurziwan,74900
Faryab,DawlatAbad,48100
Faryab,Kohistan,53900
Faryab,QaramQul,19400
Faryab,Qurghan,46600
Faryab,Andkhoy,39400
Faryab,KhaniCharbagh,22900
Helmand,HelmandCenter,102000
Helmand,NadAli,90100
Helmand,Nawa,91900
Helmand,Nahr,116100
Helmand,Washer,15400
Helmand,GarmSer,86900
Helmand,Nawzad,50300
Helmand,Sangin,59100
Helmand,MusaQala,58400
Helmand,Kajaki,70500
Helmand,Reg,26100
Helmand,Baghran,80600
Helmand,Dishu,20200
Helmand,Marja,26600
Badghis,BadghisCenter,65300
Badghis,AbKamari,72700
Badghis,Muqur,23500
Badghis,Qadis,89900
Badghis,Murghab,96000
Badghis,Jawand,77900
Badghis,Ghormach,54500
Herat,HeratCenter,449600
Herat,Enjil,241700
Herat,Guzera,145000
Herat,Karrukh,63200
Herat,Zendahjan,56400
Herat,PashtunZarghun,99100
Herat,Kushk,123100
