Digit,Count,Type
1,71,Observed
1,49.6699492846,Predicted
2,31,Observed
2,29.0550577442,Predicted
3,16,Observed
3,20.6148915404,Predicted
4,2,Observed
4,15.9901521463,Predicted
5,14,Observed
5,13.0649055979,Predicted
6,6,Observed
6,11.0462202891,Predicted
7,9,Observed
7,9.5686712513,Predicted
8,11,Observed
8,8.4401662038,Predicted
9,5,Observed
9,7.5499859425,Predicted
