province,district,totalVotes
Badakhshan,Khwahan,16300
Badakhshan,Kufab,22000
Badakhshan,Darwaz,26100
Badakhshan,Eshkashim,13700
Badakhshan,Shiki,26000
Badakhshan,Zebak,7800
Badakhshan,Kiran Wa Menjan,9400
Badakhshan,Darwaz,22900
Badakhshan,Wakhan,14800
Takhar,Takhar  Center,223100
Takhar,Hazar Sumuch,13600
Takhar,Baharak,30600
Takhar,Bangi,34700
Takhar,Chal,27900
Takhar,Namak Ab,12000
Takhar,Kalafgan,34800
Takhar,Farkhar,46300
Takhar,Khwaja Ghar,66200
Takhar,Rustaq,162200
Takhar,Eshkamesh,58300
Takhar,Dashti Qala,31600
Takhar,Warsaj,37500
Takhar,Khwaja Bahawuddin,23000
Takhar,Darqad,26600
Takhar,Chahab,77700
Takhar,Yangi Qala,44000
Kunduz,Kunduz Center,311600
Kunduz,Chahar Darah,72600
Kunduz,Ali Abad,46600
Kunduz,Khan Abad,159100
Kunduz,Hazrati Imam Sahib,229800
Kunduz,Dasht,83700
Kunduz,Qala,68800
Samangan,Samangan Center,102400
Samangan,Hazrat,40800
Samangan,Khuram Wa Sarbagh,39400
Samangan,Feroz  Nakhcheer,12900
Samangan,Rui,45100
Samangan,Dara,70600
Samangan,Dara,63900
Balkh,Balkh Center,379300
Balkh,Nahri Shahi,44300
Balkh,Dehdadi,66600
Balkh,Char kent,43900
Balkh,Marmul,11300
Balkh,Balkh,118400
Balkh,Sholgara,112600
Balkh,Chimtal,90600
Balkh,Dawlat Abad,103600
Balkh,Khulm,70400
Balkh,Char Bolak,80100
Balkh,Shortepa,39100
Balkh,Kaldar,19700
Balkh,Kishindeh,48100
Balkh,Zari,43300
Saripul,Saripul Center,153400
Saripul,Sayyad,53900
Saripul,Kohistanat,79100
Saripul,Sozma Qala,48900
Saripul,Sancharak,100000
Saripul,Gosfandi,55900
Saripul,Balkhab,49800
Ghor,Ghor  Center,133900
Ghor,Duleena,35600
Ghor,Dawlatyar,32299
Ghor,Char Sada,27100
Ghor,Pasaband,93800
Ghor,Shahrak,59100
Ghor,Lal Wa SarJangal,110700
Ghor,Taywara,90400
Ghor,Tulak,50800
Ghor,Saghar,34300
Daykundi,Daykundi Center,40300
Daykundi,Shahristan,65700
Daykundi,Ishterlai,47000
Daykundi,Khedir,46100
Daykundi,Giti,33100
Daykundi,Miramor,61900
Daykundi,Sang,50100
Daykundi,Kejran,34700
Daykundi,patoo,31900
Urozgan,Urozgan Center,101500
Urozgan,Dehraoud,60300
Urozgan,Chora,50500
Urozgan,Shahidhassas,58300
Urozgan,Khas Urozgan,55900
Urozgan,Gizab,34900
Urozgan,Chinarto,12700
Zabul,Zabul Center,34900
Zabul,Tarang Wa Jaldak,16900
Zabul,Shinkai,23300
Zabul,Mizan,13600
Zabul,Arghandab,32299
Zabul,Shah Joi,57700
Zabul,Daichopan,38900
Zabul,Atghar,8600
Zabul,Naw Bahar,18600
Zabul,Shemel Zayi,25500
Zabul,Kakar,23800
Kandahar,Kandahar Center,505300
Kandahar,Arghandab,61200
Kandahar,Daman,34300
Kandahar,Panjwayee,86100
Kandahar,Zhire,84800
Kandahar,Shah Wali Kot,42900
Kandahar,Khakrez,22500
Kandahar,Arghistan,34000
Kandahar,Ghorak,9600
Kandahar,Maiwand,58000
Kandahar,Spin Boldak,99400
Kandahar,Nesh,13200
Kandahar,Miyanishin,14900
Kandahar,Shorabak,11400
Kandahar,Maruf,32600
Kandahar,Reg,8800
Kandahar,Dand,44300
Kandahar,Takhta pul,12500
Kandahar,Jawzjan Center,164900
Kandahar,Khwaja Dukoh,26600
Kandahar,Khanaqa,23000
Kandahar,Mingajik,42400
Kandahar,Qush Tepa,23200
Kandahar,Khamyab,13800
Kandahar,Aqchah,75300
Kandahar,Faizabad,41100
Kandahar,Mardyan,38100
Kandahar,Qarqin,24400
Kandahar,Darzab,48600
Faryab,Faryab Center,80300
Faryab,Pashtun kot,186500
Faryab,Khwaja Sabz Posh i Wali,50200
Faryab,Almar,69500
Faryab,Bilchiragh,51600
Faryab,Shirin Tagab,80500
Faryab,Qaisar,140800
Faryab,Gurziwan,74900
Faryab,Dawlat Abad,48100
Faryab,Kohistan,53900
Faryab,Qaram Qul,19400
Faryab,Qurghan,46600
Faryab,Andkhoy,39400
Faryab,Khani Charbagh,22900
Helmand,Helmand Center,102000
Helmand,Nad Ali,90100
Helmand,Nawa,91900
Helmand,Nahr,116100
Helmand,Washer,15400
Helmand,Garm Ser,86900
Helmand,Nawzad,50300
Helmand,Sangin,59100
Helmand,Musa Qala,58400
Helmand,Kajaki,70500
Helmand,Reg,26100
Helmand,Baghran,80600
Helmand,Dishu,20200
Helmand,Marja,26600
Badghis,Badghis Center,65300
Badghis,Ab Kamari,72700
Badghis,Muqur,23500
Badghis,Qadis,89900
Badghis,Murghab,96000
Badghis,Jawand,77900
Badghis,Ghormach,54500
Herat,Herat  Center,449600
Herat,Enjil,241700
Herat,Guzera,145000
Herat,Karrukh,63200
Herat,Zendahjan,56400
Herat,Pashtun Zarghun,99100
Herat,Kushk,123100
Herat,Gulran,93100
Herat,Adraskan,53100
Herat,Kushk,45200
Herat,Ghoryan,87500
Herat,Obe,74800
Herat,Kohsan,53700
Herat,Shindand,176800
Herat,Fersi,30300
Herat,Chishti Sharif,23500
Farah,Farah Center,110400
Farah,Pushtrud,40200
Farah,Khak,29900
Farah,Qala,30400
Farah,Shibkoh,23100
Farah,Bala Buluk,70600
Farah,Anar Dara,27500
Farah,Bakwa,35100
Farah,Lash,27700
Farah,Gulistan,42900
Farah,Pur Chaman,52800
Nimroz,Nimroz Center,56000
Nimroz,Kang,22100
Nimroz,Asl,23400
Nimroz,Char Burjak,26200
Nimroz,Khashrod,25100
Nimroz,Dularam,6500
