"Turnout Rate vs. District, sorted",,,,,
Province Name,District Name,Turnout Rate (%),,,"Note: There are 119795 votes from turnout data labeled to be from (NA,NA)"
Takhar,Warsaj,34.824,,,
Laghman,Qarghayee,34.713,,,
Panjshir,Bazarak,34.672,,,
Kunduz,AliAbad,34.592,,,
Balkh,Dehdadi,34.486,,,
Jawzjan,QushTepa,34.345,,,
Samangan,FerozNakhchi,34.302,,,
Balkh,Mazar-E-Sharif,34.182,,,
Logar,MohammadA,34.154,,,
Bamyan,Panjab,33.951,,,
Logar,PuliAlam,33.723,,,
Takhar,Farkhar,33.603,,,
Kabul,ChaharAsyab,33.519,,,
Badakhshan,Shahr-E-Buzurg,33.420,,,
Baghlan,Dushi,33.303,,,
Badakhshan,Zebak,32.910,,,
Faryab,Qaisar,32.790,,,
Faryab,KhaniCharba,32.716,,,
Badakhshan,Kishm,32.526,,,
Kunar,ChapaDara,32.518,,,
Jawzjan,KhwajaDuko,32.496,,,
Kunduz,CharDara,32.394,,,
Nangarhar,Chaparhar,32.362,,,
Paktya,Gardez,32.167,,,
Faryab,ShirinTagab,31.771,,,
Bamyan,Bamyan,31.572,,,
Kunar,NoorGal,31.498,,,
Takhar,Taluqan,31.187,,,
Takhar,Chal,31.061,,,
Badakhshan,Yamgan,30.996,,,
Bamyan,Waras,30.943,,,
Takhar,Bangi,30.663,,,
Herat,Kushk-E-Kuhn,30.648,,,
Samangan,Hazrat-E-?_Sultan,30.647,,,
Panjshir,Hissa-E-Awal,30.628,,,
Daykundi,Kejran,30.602,,,
Badakhshan,Shighnan,30.583,,,
Laghman,DawlatShah,30.277,,,
Herat,Enjil,29.926,,,
Kapisa,Hissa-E-Awali,29.924,,,
Nooristan,Kamdesh,29.920,,,
Badakhshan,Darwaz-E-Pay,29.487,,,
Nangarhar,Rodat,29.387,,,
Nooristan,NoorGram,29.331,,,
Parwan,Salang,29.222,,,
Faryab,Almar,29.086,,,
Baghlan,Khinjan,29.063,,,
Baghlan,Dahana-E-Ghuri,29.050,,,
Ghazni,Andar,28.962,,,
Kandahar,Panjwayee,28.645,,,
Badakhshan,Baharak,28.267,,,
Ghazni,QaraBagh,28.032,,,
Kandahar,ShahWaliKot,28.005,,,
Sar-E-Pul,SozmaQala,27.693,,,
Balkh,Kishindeh,27.474,,,
Wardak,Markaz-E-Beh,27.448,,,
Takhar,Rustaq,27.338,,,
Badghis,Qadis,27.258,,,
Badakhshan,Khwahan,26.853,,,
Sar-E-Pul,Gosfandi,26.798,,,
Badakhshan,Shiki,26.788,,,
Faryab,PashtunKot,26.644,,,
Panjshir,Rukha,26.584,,,
Zabul,Shinkai,26.382,,,
Herat,Ghoryan,26.240,,,
Zabul,TarankWaJa,26.041,,,
Ghor,Taywara,26.024,,,
Faryab,Kohistan,26.006,,,
Jawzjan,Qarqin,25.910,,,
Kabul,Dehsabz,25.803,,,
Kapisa,Nijrab,25.723,,,
Badakhshan,Shuhada,25.633,,,
Balkh,Sholgara,25.488,,,
Faryab,QaramQul,25.242,,,
Nangarhar,SurkhRud,25.183,,,
Ghazni,Ghazni,25.084,,,
Kabul,Musahi,24.745,,,
Badghis,AbKamari,24.666,,,
Takhar,NamakAb,24.583,,,
Kunduz,Kunduz,24.552,,,
Kabul,Farza,24.340,,,
Farah,Farah,24.168,,,
Takhar,YangiQala,24.070,,,
Helmand,Lashkargah,23.912,,,
Herat,Zendajan,23.110,,,
Balkh,Balkh,22.813,,,
Herat,Kushk(Rubat-E,22.793,,,
Sar-E-Pul,Sar-E-Pul,22.653,,,
Parwan,ShaykhAli,22.553,,,
Parwan,Charikar,22.467,,,
Jawzjan,Khamyab,22.341,,,
Herat,Guzara,22.096,,,
Sar-E-Pul,Kohistanat,21.865,,,
Kabul,Kalakan,21.779,,,
Kapisa,MahmudiRaq,21.731,,,
Balkh,Shortepa,21.703,,,
Khost,Sabari,21.568,,,
Zabul,Mizan,20.926,,,
Sar-E-Pul,SangCharak,20.828,,,
Badghis,Muqur,20.749,,,
Badakhshan,ArghanjKhwa,20.629,,,
Balkh,CharBolak,20.467,,,
Kabul,Kabul,20.244,,,
Herat,Gulran,20.232,,,
Balkh,Khulm,19.902,,,
Herat,Karrukh,19.832,,,
Balkh,Chimtal,19.481,,,
Takhar,Darqad,19.421,,,
Kabul,QaraBagh,19.414,,,
Faryab,Qurghan,19.264,,,
Kabul,MirBachaKo,18.818,,,
Kandahar,Miyanishin,18.624,,,
Kapisa,Hissa-E-Duwu,18.616,,,
Ghor,Pasaband,18.284,,,
Balkh,DawlatAbad,18.270,,,
Kunduz,Dasht-E-Archi,18.189,,,
Parwan,SayidKhial,17.974,,,
Nangarhar,BatiKot,17.940,,,
Herat,Shindand,17.900,,,
Badakhshan,Khash,17.878,,,
Kabul,Paghman,17.842,,,
Kabul,ShakarDara,17.412,,,
Farah,ShibKoh,17.312,,,
Parwan,SurkhiParsa,16.916,,,
Kandahar,Zhire,16.903,,,
Kunduz,Qala-E-Zal,16.699,,,
Ghazni,AbBand,16.478,,,
Kunduz,Hazrat-E-Imam,16.319,,,
Jawzjan,Darzab,16.091,,,
Kunduz,KhanAbad,15.924,,,
Kabul,Estalef,15.826,,,
Faryab,DawlatAbad,15.470,,,
Herat,Obe,15.031,,,
Baghlan,Pul-E-Hisar,14.784,,,
Jawzjan,Aqchah,14.757,,,
Wardak,Hissa-E-Awali,14.521,,,
Badakhshan,Wardooj,14.431,,,
Kabul,Guldara,14.420,,,
Zabul,ShahJoi,14.288,,,
Jawzjan,Khanaqa,14.135,,,
Sar-E-Pul,Sayad,14.117,,,
Zabul,Arghandab,13.808,,,
Nimroz,CharBurjak,13.660,,,
Nangarhar,Lalpoor,13.228,,,
Nangarhar,Achin,13.187,,,
Badghis,Ghormach,13.176,,,
Logar,Khushi,13.130,,,
Kandahar,Arghandab,13.124,,,
Wardak,Jalrez,13.073,,,
Nangarhar,Shinwar,12.905,,,
Laghman,Alingar,12.865,,,
Nangarhar,Khugyani,12.826,,,
Balkh,CharKent,12.667,,,
Nimroz,Kang,12.661,,,
Jawzjan,Mardyan,12.433,,,
Zabul,Daichopan,12.404,,,
Nangarhar,Kot,12.375,,,
Paktya,Zurmat,12.237,,,
Farah,Lash-E-Juwayn,12.177,,,
Badghis,BalaMurgha,12.050,,,
Nimroz,Asl-E-Chakhan,11.577,,,
Herat,PashtunZarg,11.145,,,
Helmand,Washer,11.084,,,
Nangarhar,Hesarak,10.789,,,
Nangarhar,PachirWaga,10.774,,,
Jawzjan,Faizabad,10.467,,,
Jawzjan,Mingajik,10.415,,,
Urozgan,KhasUrozgan,10.415,,,
Kunar,GhaziAbad,10.384,,,
Farah,Khak-E-Safed,10.003,,,
Kandahar,Kandahar,9.862,,,
Laghman,Alishing,9.759,,,
Ghazni,DehYak,9.528,,,
Logar,BarakiBarak,9.447,,,
Logar,Charkh,9.374,,,
Ghazni,Muqur,9.366,,,
Ghazni,Ajristan,9.264,,,
Nangarhar,SherZad,9.085,,,
Farah,AnarDara,8.716,,,
Zabul,NawBahar,7.898,,,
Badakhshan,Tagab,7.748,,,
Farah,Qala-E-Kah,7.747,,,
Ghazni,Gelan,7.390,,,
Helmand,GarmSer,7.234,,,
Farah,Bakwa,7.048,,,
Badakhshan,Jurm,7.016,,,
Helmand,Nawa-E-Barakzayi,6.938,,,
Kandahar,Maiwand,6.662,,,
Parwan,SyahgirdiGho,6.581,,,
Urozgan,Tirinkot,6.431,,,
Parwan,Shinwari,6.300,,,
Helmand,NadAli,5.933,,,
Farah,BalaBuluk,5.822,,,
Zabul,ShemelZayi,5.800,,,
Kapisa,Tagab,5.136,,,
Farah,Pushtrud,4.993,,,
Urozgan,Chora,4.913,,,
Urozgan,Dehraoud,4.796,,,
Helmand,Nahr-E-Saraj,4.635,,,
Farah,Gulistan,3.434,,,
Ghazni,Waghaz,3.354,,,
Ghazni,KhwajaOmar,3.295,,,
Helmand,MusaQala,3.106,,,
Urozgan,Shahid-E-Hass,2.731,,,
Parwan,KohiSafi,2.670,,,
Helmand,Kajaki,2.167,,,
Kandahar,Khakrez,2.013,,,
Helmand,Reg?_E?_KhanNi,2.008,,,
Helmand,SanginQala,1.909,,,
Ghazni,Rashidan,1.562,,,
Nimroz,Khashrod,1.470,,,
Helmand,Nawzad,0.799,,,
Logar,KharWar,0.595,,,
Nangarhar,DehBala,0.415,,,
Ghazni,Zanakhan,0.298,,,
Daykundi,Gizab,0.186,,,
Ghazni,Giro,0.108,,,
Ghazni,WaliMoham,0.096,,,
,,,,,
